g_m,g_T,g_r,g_q,g_sigma,g_amercall_fde
3.373572669,0.126027397,0.03867375,0.007970602,0.664025349,1.07E-08
3.421632556,0.27660274,0.078767494,0.03554035,0.149434385,0
1.678547101,1.698520548,0.078077144,0.013695792,0.94514324,0.345263743
1.990974472,0.010958904,0.066065092,0.008381326,0.930637453,0
4.973622594,0.126027397,0.009925186,0.027821889,1.504665526,0.000429912
0.526493794,0.451945205,0.032749359,0.049165343,1.762285728,0.607427656
0.487620288,1.698520548,0.017976902,0.00840258,1.741750697,0.818980484
4.583479999,0.375232877,0.037488191,0.048609404,0.125142075,0
3.109822123,1.698520548,0.005077841,0.006043098,1.704904231,0.557069838
2.094597359,0.068493151,0.016061537,0.033419604,0.765125057,7.55E-06
3.077628485,0.068493151,0.059665509,0.024841991,1.816085359,0.002491677
2.791524765,0.528657534,0.050327024,0.026033572,1.784696469,0.232649345
0.612382114,2.043835616,0.056166153,0.030356461,0.5887652,0.490742292
3.154447237,1.449205479,0.012252102,0.030111363,0.437186208,0.003929841
2.640684062,0.010958904,0.069742831,0.043676697,1.400598794,0
4.991746222,0.087671233,0.050541709,0.005874134,0.851306354,0
3.180513351,0.030136986,0.021393148,0.005910628,1.991166091,6.51E-05
4.648573454,0.010958904,0.034253212,0.00902904,1.197740962,0
1.908962429,0.030136986,0.069760074,0.006022396,0.765125057,2.15E-08
4.688497271,1.046575342,0.001574132,0.03712228,0.332248442,2.24E-07
4.676161002,0.030136986,0.024705691,0.045595128,1.249052537,0
3.947638238,1.449205479,0.028860284,0.030407483,1.507174661,0.355452002
1.505928254,1.449205479,0.059924994,0.023791344,0.832799739,0.268968402
4.812028726,0.030136986,0.065672068,0.017843189,0.33450128,0
4.60075997,0.030136986,0.038947521,0.003173633,1.328764979,0
4.999953882,1.046575342,0.068743815,0.029733731,0.952125512,0.0427422
1.486001082,0.049315068,0.038947521,0.02205284,1.691027269,0.034033251
3.231613985,1.046575342,0.035404535,0.003803359,1.950946494,0.480115912
3.707933238,2.043835616,0.065118711,0.0183117,0.724266679,0.09903668
2.025762539,1.046575342,0.064754867,0.048766861,1.261527019,0.293240128
4.962190854,2.043835616,0.055047931,0.046203329,1.283937038,0.312745897
2.833132551,0.106849315,0.026664723,0.04450502,0.958899334,5.95E-05
3.443090332,0.528657534,0.039022766,0.032042333,1.158224554,0.045356055
1.012565091,1.449205479,0.035718309,0.043150851,0.077550397,0.026524193
3.450963432,0.049315068,0.012297897,0.009721351,0.271347336,0
1.724499296,0.701260274,0.028356654,0.034793379,0.775430589,0.089375248
0.306677504,0.202630137,0.037981452,0.035881405,1.158224554,0.693387883
2.695810575,0.27660274,0.055910965,0.046536796,1.518578465,0.062468632
4.172584663,0.375232877,0.075929575,0.030111363,1.793376394,0.092143204
4.701700135,0.375232877,0.043094029,0.008885306,1.605074241,0.048412638
4.487564389,0.375232877,0.007614799,0.00676723,0.257260869,0
4.043945465,0.202630137,0.042844898,0.010371097,0.241126604,0
2.874829361,0.126027397,0.065951158,0.030661062,1.979106538,0.033445263
0.478684472,0.701260274,0.008034614,0.011228907,0.468352054,0.522477899
1.608953034,2.043835616,0.068743815,0.006468041,0.939111259,0.404772784
3.238891555,0.701260274,0.055991536,0.039099658,1.348701792,0.139260788
1.323408692,0.087671233,0.00933499,0.009532929,1.816085359,0.116098794
4.785926422,1.698520548,0.053595241,0.033529197,1.729875711,0.484920835
1.99828049,0.27660274,0.031589071,0.006043098,0.894188339,0.020516394
0.985998165,0.451945205,0.075035387,0.00902904,0.637038008,0.186950453
1.114553428,0.126027397,0.069473241,0.027804314,1.235266801,0.133120042
4.325688163,0.087671233,0.061209969,0.023525541,0.219682539,0
1.146311004,2.043835616,0.079005766,0.009109122,0.500487724,0.276317219
3.782589157,0.030136986,0.047071021,0.011276867,0.664025349,0
2.601409959,2.043835616,0.053078985,0.02205284,0.55467095,0.073225696
4.110089969,0.126027397,0.06821709,0.017714325,0.112301187,0
1.846836526,0.451945205,0.040269454,0.04197814,1.7790695,0.281537754
3.7329886,0.068493151,0.032204913,0.024324796,1.229031722,2.90E-06
2.812847135,0.528657534,0.006523034,0.043334188,0.794607403,0.012333728
4.240685227,0.068493151,0.07764873,0.040830162,0.964945579,0
4.64347416,0.202630137,0.01997158,0.013235508,1.997180715,0.031182325
1.560892,0.27660274,0.067763768,0.012938764,0.627241936,0.017896076
4.240889544,0.126027397,0.022451633,0.01649437,0.944722561,1.21E-06
1.480510351,0.451945205,0.036093894,0.012034849,0.947816519,0.125421729
1.878199614,0.451945205,0.056351981,0.011428894,1.7790695,0.285717217
1.745442772,0.202630137,0.043663383,0.038203421,1.966545702,0.175103778
1.372813605,0.451945205,0.03259538,0.018744385,1.48441161,0.286097109
1.137903715,0.451945205,0.015261006,0.022538429,1.410484759,0.319402955
0.623724314,0.202630137,0.065753111,0.032916953,1.061565446,0.408032254
3.664783995,0.106849315,0.039043361,0.006835813,1.748289384,0.004262952
3.020170423,0.701260274,0.013870605,0.026019922,1.342551648,0.147519082
1.040695318,0.068493151,0.013323632,0.042833944,0.134508614,0.002063565
2.211218912,1.698520548,0.011172947,0.036814135,0.531428018,0.052924696
3.264685545,0.030136986,0.054629043,0.036627293,0.271347336,0
0.408314197,1.698520548,0.042548545,0.019331986,0.06043835,0.591685803
1.700291476,0.202630137,0.017976902,0.042143362,1.855431125,0.160791744
4.381216769,1.199890411,0.04225649,0.024946387,0.367431719,2.83E-05
4.926640016,0.030136986,0.048051769,0.034200557,1.13927704,0
3.530173339,0.528657534,0.069151682,0.00845275,1.604309064,0.143562993
3.47879158,0.202630137,0.015359419,0.036871453,1.686048175,0.026814316
2.783809163,1.449205479,0.042994066,0.042143362,1.26428573,0.307636294
1.73153882,0.701260274,0.04317641,0.016449595,1.583595599,0.35451353
2.393786817,0.701260274,0.012132223,0.006385038,1.167275773,0.142589848
